Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop
839;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-5015_apricot_S;;;;43.000000;0.000000;0.00;6;1;0;1;;;0;
840;"Größe 32 - 34 - 36 - 38:select:1";36:1;VIP-5016_champagner_M;;4250781840593;;25.500000;0.000000;0.00;4;1;0;0;;;0;
840;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-5016_champagner_L;;4250781840609;;25.500000;0.000000;0.00;3;0;0;0;;;0;
840;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-5016_champagner_S;;4250781840586;;25.500000;0.000000;0.00;5;1;0;1;;;0;
841;"Größe 32 - 34 - 36 - 38:select:1";36:1;VIP-5016_red_M;;4250781840623;;25.500000;0.000000;0.00;2;1;0;0;;;0;
841;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-5016_red_L;;4250781840630;;25.500000;0.000000;0.00;2;0;0;0;;;0;
841;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-5016_red_S;;4250781840616;;25.500000;0.000000;0.00;3;1;0;1;;;0;
842;"Größe 32 - 34 - 36 - 38:select:1";36:1;VIP-5016_beige_M;;4250781840654;;25.500000;0.000000;0.00;0;1;0;0;;;0;
842;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-5016_beige_L;;4250781840661;;25.500000;0.000000;0.00;1;0;0;0;;;0;
842;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-5016_beige_S;;4250781840647;;25.500000;0.000000;0.00;1;1;0;1;;;0;
843;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-5016_purple_L;;4250781840692;;25.500000;0.000000;0.00;4;0;0;0;;;0;
843;"Größe 32 - 34 - 36 - 38:select:1";36:1;VIP-5016_purple_M;;4250781840685;;25.500000;0.000000;0.00;5;1;0;0;;;0;
843;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-5016_purple_S;;4250781840678;;25.500000;0.000000;0.00;5;1;0;1;;;0;
844;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-5017_blue_L;;4250781840722;;26.000000;0.000000;0.00;6;0;0;0;;;0;
844;"Größe 32 - 34 - 36 - 38:select:1";36:1;VIP-5017_blue_M;;4250781840715;;26.000000;0.000000;0.00;3;1;0;0;;;0;
844;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-5017_blue_S;;4250781840708;;26.000000;0.000000;0.00;4;1;0;1;;;0;
845;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-5017_beige_L;;4250781840753;;26.000000;0.000000;0.00;5;0;0;0;;;0;
845;"Größe 32 - 34 - 36 - 38:select:1";36:1;VIP-5017_beige_M;;4250781840746;;26.000000;0.000000;0.00;4;1;0;0;;;0;
845;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-5017_beige_S;;4250781840739;;26.000000;0.000000;0.00;5;1;0;1;;;0;
846;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-5017_red_L;;4250781840784;;26.000000;0.000000;0.00;5;0;0;0;;;0;
846;"Größe 32 - 34 - 36 - 38:select:1";36:1;VIP-5017_red_M;;4250781840777;;26.000000;0.000000;0.00;5;1;0;0;;;0;
846;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-5017_red_S;;4250781840760;;26.000000;0.000000;0.00;5;1;0;1;;;0;
847;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-5017_black_L;;4250781840814;;26.000000;0.000000;0.00;5;0;0;0;;;0;
847;"Größe 32 - 34 - 36 - 38:select:1";36:1;VIP-5017_black_M;;4250781840807;;26.000000;0.000000;0.00;5;1;0;0;;;0;
847;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-5017_black_S;;4250781840791;;26.000000;0.000000;0.00;5;1;0;1;;;0;
848;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-5018_red_L;;4250781840845;;25.500000;0.000000;0.00;2;0;0;0;;;0;
848;"Größe 32 - 34 - 36 - 38:select:1";36:1;VIP-5018_red_M;;4250781840838;;25.500000;0.000000;0.00;5;1;0;0;;;0;
848;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-5018_red_S;;4250781840821;;25.500000;0.000000;0.00;4;1;0;1;;;0;
849;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-5018_beige_L;;4250781840876;;25.500000;0.000000;0.00;5;0;0;0;;;0;
849;"Größe 32 - 34 - 36 - 38:select:1";36:1;VIP-5018_beige_M;;4250781840869;;25.500000;0.000000;0.00;4;1;0;0;;;0;
849;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-5018_beige_S;;4250781840852;;25.500000;0.000000;0.00;5;1;0;1;;;0;
