ID;Aktiv;Image;Preis inkl. Steuern;Einkaufspreis;Hersteller-Artikelnummer.;Auf Lager;Name;Lieferant;Standort;Preis inklusive % Reduktion;Reduktion %;Reduktionshöhe;Preis inklusive Reduktion;Rabatt startet;Rabattende;Preis exklusive Steuern;Pos.;Steuerregel
3562;Nein;--;136.85;44.00;0080_Salsa Red;8;-1;CK-C; ;0.00;0.00;0.00;0.00;01.01.2018 0:00;25.01.2019 0:00;115.00;-;19%
3693;Nein;--;189.21;75.00;0362_Pearl Pink;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;159.00;-;19%
3561;Nein;--;136.85;44.00;0080_Twilight Blue;6;-1;CK-C; ;0.00;0.00;0.00;0.00;01.01.2018 0:00;25.01.2019 0:00;115.00;-;19%
3694;Nein;--;189.21;75.00;0362_Rio Red;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;159.00;-;19%
3771;Nein;--;189.21;78.00;0376_Champagne;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;159.00;-;19%
3695;Nein;--;165.41;65.00;0361_Phantom Black;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;139.00;-;19%
3773;Nein;--;177.31;68.00;0359_Apple Mint;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;149.00;-;19%
3696;Nein;--;165.41;65.00;0361_Galapagos Green;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;139.00;-;19%
3774;Nein;--;153.51;56.00;0337_Pearl Pink;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;129.00;-;19%
3697;Nein;--;165.41;65.00;0361_Etherea Brown;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;139.00;-;19%
3775;Nein;--;189.21;82.00;0391_Pearl Pink;0;-1;CK-T; ;0.00;0.00;0.00;0.00; ; ;159.00;-;19%
3698;Nein;--;94.01;41.00;0360_Palace Blue;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;79.00;-;19%
3776;Nein;--;94.01;40.00;0392_Rio Red;0;-1;CK-T; ;0.00;0.00;0.00;0.00; ; ;79.00;-;19%
3699;Nein;--;177.31;68.00;0359_Dawn Pink;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;149.00;-;19%
3777;Nein;--;94.01;40.00;0392_Twilight Blue;0;-1;CK-T; ;0.00;0.00;0.00;0.00; ; ;79.00;-;19%
3700;Nein;--;177.31;68.00;0359_Twilight Blue;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;149.00;-;19%
3778;Nein;--;165.41;66.00;0393_Phantom Black;0;-1;CK-T; ;0.00;0.00;0.00;0.00; ; ;139.00;-;19%
3701;Nein;--;177.31;68.00;0359_Rio Red;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;149.00;-;19%
3779;Nein;--;141.61;53.00;0400_Dawn Pink;0;-1;CK-T; ;0.00;0.00;0.00;0.00; ; ;119.00;-;19%
3703;Nein;--;201.11;85.00;0358_Twilight Blue;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;169.00;-;19%
3780;Nein;--;129.71;50.00;0395_Posy Green;0;-1;CK-T; ;0.00;0.00;0.00;0.00; ; ;109.00;-;19%
3704;Nein;--;189.21;78.00;0357_Iron Grey;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;159.00;-;19%
3781;Nein;--;129.71;50.00;0395_Twilight Blue;0;-1;CK-T; ;0.00;0.00;0.00;0.00; ; ;109.00;-;19%
3705;Nein;--;189.21;78.00;0356_Phantom Black;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;159.00;-;19%
3782;Nein;--;129.71;50.00;0395_Rio Red;0;-1;CK-T; ;0.00;0.00;0.00;0.00; ; ;109.00;-;19%
3706;Nein;--;141.61;59.00;0355_Phantom Black;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;119.00;-;19%
3783;Nein;--;141.61;55.00;0396_Phantom Black;0;-1;CK-T; ;0.00;0.00;0.00;0.00; ; ;119.00;-;19%
3707;Nein;--;141.61;55.00;0354_Ice Green;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;119.00;-;19%
3784;Nein;--;105.91;40.00;0399_Rio Red;0;-1;CK-T; ;0.00;0.00;0.00;0.00; ; ;89.00;-;19%
3708;Nein;--;141.61;55.00;0354_Twilight Blue;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;119.00;-;19%
3785;Nein;--;105.91;39.00;0397_Dawn Pink;0;-1;CK-T; ;0.00;0.00;0.00;0.00; ; ;89.00;-;19%
3710;Nein;--;117.81;47.00;0353_Twilight Blue;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;99.00;-;19%
3786;Nein;--;105.91;39.00;0398_Phantom Black;0;-1;CK-T; ;0.00;0.00;0.00;0.00; ; ;89.00;-;19%
3711;Nein;--;189.21;79.00;0352_Pearl Pink;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;159.00;-;19%
3787;Nein;--;105.91;39.00;0397_Rio Red;0;-1;CK-T; ;0.00;0.00;0.00;0.00; ; ;89.00;-;19%
3712;Nein;--;189.21;79.00;0352_Twilight Blue;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;159.00;-;19%
3788;Nein;--;105.91;39.00;0397_Twilight Blue;0;-1;CK-T; ;0.00;0.00;0.00;0.00; ; ;89.00;-;19%
3713;Nein;--;177.31;69.00;0351_Etherea Brown;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;149.00;-;19%
3789;Nein;--;160.65;68.00;0389_Twilight Purple;0;-1;CK-T; ;0.00;0.00;0.00;0.00; ; ;135.00;-;19%
3714;Nein;--;177.31;69.00;0351_Twilight Blue;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;149.00;-;19%
